,Real_score,Predicted_score
318,3.9,4.464533867554153
319,5.4,5.117946201340698
320,5.0,4.930924751289869
321,4.8,4.610634792194976
322,6.0,5.241534257929594
323,5.0,4.940254138627956
324,5.7,4.6907796541939994
325,3.7,4.689315860743963
326,4.2,4.859705519242022
327,6.0,4.780170058350066
328,5.2,4.50873036989421
329,5.2,4.728721624745405
330,5.6,5.142730829524046
331,4.6,4.772781615845757
332,4.5,4.5678360501925965
333,4.3,4.465273854795682
334,3.2,4.802659511237129
335,5.1,4.851802847555243
336,5.1,4.737740179715688
337,5.3,4.790446223463174
338,5.66666666666667,5.100168515471289
339,2.64285714285714,4.1960435836608285
340,4.8,5.031611186660795
341,5.6,5.103542849063928
342,6.1,4.75036526972103
343,3.8,4.554547427860378
344,5.6,4.632363339663134
345,5.0,5.218960461831107
346,4.3,4.8185464082361325
347,5.4,4.886956200403926
348,5.5,4.546199133654703
349,5.3,5.026158254227827
350,3.0,4.514113129250917
351,5.0,5.277793979029292
352,4.4,4.847328921608941
353,4.0,4.733313105596007
354,3.4,4.5717067617102725
355,5.5,4.966521833736937
356,5.8,5.096370149287289
357,3.6,4.761266963131113
358,4.6,4.790548416744022
359,4.6,4.653070767476245
360,5.3,4.956385792222901
361,5.1,4.5633090467924955
362,4.1,4.6640489880084655
363,3.7,4.573442875817139
364,4.4,5.161680620606189
365,5.3,4.977238025374823
366,5.3,4.6998043449177525
367,2.9,4.4751039138154765
368,4.9,4.579100711021393
369,2.7,4.4906772240084925
370,5.6,4.933865601751723
371,3.3,4.8450035923108175
372,4.3,5.322403380059054
373,3.6,4.579095243980111
374,5.4,4.781517787468045
375,5.1,4.799851505163314
376,3.9,4.494736849916097
377,4.4,4.627934739246506
378,3.4,4.5996286648573514
379,5.2,4.812568960970324
380,4.16666666666667,4.973450179093564
381,6.0,4.940926036277213
382,3.1,5.069599641604994
383,4.9,4.575226096738841
384,4.58333333333333,5.039398817778718
385,5.4,4.7782339303418535
386,4.9,4.676503271900686
387,4.4,4.724432520240474
388,4.6,4.993607283491699
389,6.1,4.892455648982356
390,2.0,3.9556073840634496
391,5.2,4.7313181633672
392,4.5,5.043395740003427
393,5.2,4.640180224613919
394,4.6,4.98321940327896
395,5.2,4.963257050605429
396,5.1,4.671905318551657
397,5.0,4.754820720110682
398,5.2,5.026932560552218
399,5.0,5.008893521515675
400,4.1,4.9076399029294535
401,5.4,5.349972047739632
402,4.4,4.480653647301509
403,3.9,4.421348713377762
